fas4,lifesat,wemwbs,sebdtot,physact60,schoolid_anonymous,genid_sab6,meanpsychcomplfreq,dailyfruitveg,pastmonthcann,drink2bin,weeklysmoker,vigpaguidance,age1,ethnic2,bullyvictim
7,8,24,21,2,156,2,2.25,0,0,0,0,0,12,0,0
6,9,NA,11,5,156,2,NA,0,0,0,NA,1,12,0,0
11,5,16,32,2,156,2,4.75,0,NA,1,NA,0,12,0,0
10,4,15,22,5,153,2,4.5,0,0,1,1,1,16,0,0
12,6,23,5,5,153,1,3,0,0,1,0,0,16,1,0
11,3,21,20,7,153,2,3.25,0,0,1,0,1,16,0,0
10,8,27,16,6,133,6,3,0,0,0,0,0,14,0,0
9,10,30,6,5,133,1,1.75,1,0,0,0,1,14,0,0
7,8,30,10,5,133,1,2,0,0,1,0,0,14,0,0
10,4,22,NA,2,133,2,4,0,NA,NA,0,0,14,0,NA
NA,7,27,20,3,133,1,1.5,0,0,0,0,0,14,0,NA
9,8,25,20,3,133,1,3.75,1,0,0,0,1,14,0,0
9,6,26,13,3,133,2,3,1,0,0,0,0,14,1,0
12,8,30,13,6,133,2,1.75,0,0,0,0,1,14,0,1
11,8,23,15,4,133,2,3.5,1,0,0,0,0,14,0,0
9,7,25,15,1,133,1,2.5,0,0,0,0,0,15,0,1
9,7,28,7,5,133,1,NA,0,0,0,0,1,15,0,0
11,7,19,19,5,133,2,3.25,0,0,1,0,1,15,0,0
12,8,30,3,5,133,1,1,1,0,0,0,1,15,0,0
11,6,21,20,1,133,2,4.75,0,1,1,0,0,15,0,0
13,7,21,11,2,133,1,2.5,0,0,0,0,1,15,0,0
9,6,28,15,7,133,1,2.75,1,0,0,0,1,15,0,0
13,10,31,9,3,133,1,1.25,1,0,0,0,0,14,0,0
9,6,13,22,3,133,2,3.25,0,1,1,1,0,14,0,0
10,6,20,17,1,133,2,3.75,0,0,0,0,0,14,1,1
4,NA,13,NA,1,133,2,5,1,NA,0,0,0,14,0,NA
5,5,14,20,NA,133,4,4.5,0,1,NA,0,0,14,0,1
NA,10,23,11,5,133,2,2.5,0,0,0,0,0,14,1,0
5,7,13,24,2,133,2,3,0,0,0,0,0,14,0,0
NA,1,9,NA,4,133,6,5,NA,NA,NA,NA,1,14,0,NA
11,7,24,NA,2,133,2,4,1,0,0,0,1,15,0,1
10,6,16,NA,2,133,2,5,0,0,1,0,0,14,0,NA
9,7,19,18,5,133,2,4.25,0,0,1,0,1,15,0,0
8,6,21,19,6,133,1,4.75,0,0,0,0,0,14,1,0
11,8,30,13,4,133,1,1.5,1,0,0,NA,1,15,1,1
9,10,NA,13,2,153,2,1.5,1,0,0,0,1,16,0,0
9,6,24,21,4,133,2,4.25,1,0,0,0,1,14,0,1
6,8,31,8,2,133,1,1.25,0,0,0,0,0,15,1,0
NA,6,NA,20,4,133,1,3.5,0,0,1,0,1,14,0,0
10,8,25,6,7,133,1,3,1,0,0,0,1,14,1,0
12,8,27,12,7,133,1,3.5,0,0,1,0,1,14,0,0
6,9,25,11,1,133,1,1.5,0,0,0,0,0,15,0,1
10,6,14,21,2,133,NA,4.25,0,0,0,0,0,14,1,0
11,8,23,21,3,133,2,2.75,0,0,0,0,0,14,0,1
13,7,23,11,6,133,2,2.25,0,0,0,0,1,14,0,0
10,10,34,5,6,133,1,2,1,0,0,0,1,15,0,1
9,6,17,13,4,133,2,4.25,0,0,1,0,0,14,0,1
12,9,27,17,7,133,2,2.25,1,0,0,0,1,14,0,1
11,7,27,9,4,133,2,2.75,0,0,0,0,1,15,0,0
11,8,26,4,3,133,1,1,0,0,0,0,1,15,0,0
13,8,22,11,4,133,2,2.5,1,0,1,0,1,14,0,1
NA,7,29,9,5,118,1,1.75,1,0,0,0,1,17,0,0
10,10,28,NA,6,133,1,1.75,1,0,0,0,1,14,0,0
11,9,32,5,3,133,1,1,0,0,0,0,0,14,1,1
10,8,27,7,1,133,1,1.75,0,0,0,0,0,14,0,0
12,8,25,9,5,133,1,2.75,0,0,0,0,1,14,0,0
9,7,27,14,6,133,1,2.75,0,0,0,0,1,14,1,1
6,9,25,12,3,133,2,1.75,0,0,0,NA,0,14,0,1
11,9,23,25,7,133,2,3.25,1,1,0,0,0,15,0,0
8,6,26,9,3,133,1,3.75,0,0,0,0,0,14,1,0
9,6,19,11,3,133,2,3,1,0,0,0,1,14,0,1
7,5,15,23,6,133,2,3.5,1,0,0,0,0,14,0,0
12,NA,20,16,3,133,2,4,1,0,0,0,0,14,0,0
12,5,20,11,7,133,2,4.25,0,0,0,0,1,14,0,0
13,5,20,15,3,133,2,3.5,0,0,1,NA,0,14,0,1
